ayah_no_quran,surah_no,ayah_no_surah,tafsir,arabic,text
2140,17,111,jalalayn,وَقُلِ ٱلْحَمْدُ لِلَّهِ ٱلَّذِي لَمْ يَتَّخِذْ وَلَداً وَلَم يَكُنْ لَّهُ شَرِيكٌ فِي ٱلْمُلْكِ وَلَمْ يَكُنْ لَّهُ وَلِيٌّ مِّنَ ٱلذُّلِّ وَكَبِّرْهُ تَكْبِيراً,And say ‘Praise be to God Who has neither taken a son nor has He any partner in sovereignty in divineness nor has He taken any ally to assist Him out of because of any weakness’ that is to say He would never become weak and thus need an assistant. And magnify Him with magnifications worthy of Him extol Him with a perfect extolling above that He should have taken a son or a partner and above any weakness and above all that does not befit Him. The arrangement whereby ‘praise’ is invoked together with this statement is meant to indicate that He is the One worthy of all praise because of the perfection of His Essence and the fact that He alones possesses those attributes of His. Imam Ahmad b. Hanbal relates in his Musnad by way of a report from Mu‘ādh al-Juhanī who heard it from the Messenger of God s who used to say ‘The “glory” verse in the Qur’ān is Praise be to God Who has neither taken a son nor has He any partner in sovereignty … to the end of the above-mentioned sūra 17111’ and God exalted be He knows best. The author of this commentary says ‘This last commentary constitutes the end of my complement to the commentary on the Noble Qur’ān composed by the inquisitive scholar the shaykh Imam Jalāl al-Dīn al-Mahallī al-Shāfi‘ī may God be pleased with him. I have expended every effort in it and reflected throughout it exhaustively especially in those precious things that I have deemed God willing to be profitable. I composed it this commentary in the same length of time appointed for the one spoken to by God sc. Moses and I have made it a means to attaining the Gardens of Bliss. It this commentary actually draws on the work which it complements relying and depending on it for an understanding of those allegorical verses. May God have mercy on one who examines it with impartiality chances upon an error and informs me of it. As I have said “I praise God my Lord for He guided me in what I have expressed despite my incapacity and weakness; for who other than God is there to avert me from error and who is there to accept from me even a single letter”.
2141,18,1,jalalayn,ٱلْحَمْدُ لِلَّهِ ٱلَّذِي أَنْزَلَ عَلَىٰ عَبْدِهِ ٱلْكِتَابَ وَلَمْ يَجْعَل لَّهُ عِوَجَا,Praise — which is the attribution to a person of that which is beautiful — is established as something that belongs to God alone exalted be He. Now is the intention here to point this out for the purpose of believing in it or to praise God thereby or both? All are possibilities the most profitable of which is to understand the third as being the intention behind this statement; Who has revealed to His servant Muhammad (s) the Book the Qur’ān and has not allowed for it that is He has not allowed that there be in it any crookedness any variance or contradiction the last sentence wa-lam yaj‘al lahu ‘iwajan is a circumstantial qualifier referring to al-kitāb ‘the Book’;
2142,18,2,jalalayn,قَيِّماً لِّيُنْذِرَ بَأْساً شَدِيداً مِّن لَّدُنْهُ وَيُبَشِّرَ ٱلْمُؤْمِنِينَ ٱلَّذِينَ يَعْمَلُونَ ٱلصَّالِحَاتِ أَنَّ لَهُمْ أَجْراً حَسَناً,a Book upright qayyiman is a second circumstantial qualifier for added emphasis to warn of to make by this Book the disbelievers fear severe chastisement from Him from God and to bring to the believers who perform righteous deeds the good tidings that theirs will be a fair reward
2143,18,3,jalalayn,مَّاكِثِينَ فِيهِ أَبَداً,wherein they will abide forever and this reward is Paradise;
2144,18,4,jalalayn,وَيُنْذِرَ ٱلَّذِينَ قَالُواْ ٱتَّخَذَ ٱللَّهُ وَلَداً,and to warn those from among the disbelievers who say ‘God has taken a son’.
2145,18,5,jalalayn,مَّا لَهُمْ بِهِ مِنْ عِلْمٍ وَلاَ لآبَائِهِمْ كَبُرَتْ كَلِمَةً تَخْرُجُ مِنْ أَفْوَاهِهِمْ إِن يَقُولُونَ إِلاَّ كَذِباً,They do not have in this in this saying any knowledge nor did their fathers before them who also used to say this. Dreadful grave is the word that comes out of their mouths kalimatan ‘word’ is for specification and it explains the unidentified feminine person of the verb kaburat ‘dreadful’; and that which is the object of censure has been omitted and that is their above-mentioned saying that God has taken a son. They speak nothing thereby but an utterance of lies.
2146,18,6,jalalayn,فَلَعَلَّكَ بَاخِعٌ نَّفْسَكَ عَلَىٰ آثَارِهِمْ إِن لَّمْ يُؤْمِنُواْ بِهَـٰذَا ٱلْحَدِيثِ أَسَفاً,Yet it may be that you will consume destroy yourself in their wake — following your being with them that is after they have left you — if they should not believe in this discourse in this Qur’ān out of grief out of rage and anguish on your part because of your eagerness that they believe asafan ‘out of grief’ is in the accusative because it functions as an object denoting reason.
2147,18,7,jalalayn,إِنَّا جَعَلْنَا مَا عَلَى ٱلأَرْضِ زِينَةً لَّهَا لِنَبْلُوَهُمْ أَيُّهُم أَحْسَنُ عَمَلاً,Truly We have made all that is on the earth in the way of animals plants trees rivers and so on as an adornment for it that We may try them that We may test mankind observing thereby which of them is best in conduct therein that is to see which of them is the most abstemious of it.
2148,18,8,jalalayn,وَإِنَّا لَجَاعِلُونَ مَا عَلَيْهَا صَعِيداً جُرُزاً,And indeed We shall turn all that is therein into barren shreds that produce no plants.
2149,18,9,jalalayn,أَمْ حَسِبْتَ أَنَّ أَصْحَابَ ٱلْكَهْفِ وَٱلرَّقِيمِ كَانُواْ مِنْ آيَاتِنَا عَجَباً,Or did you think did you suppose that the Companions of the Cave the cavern in the mountain and the Inscription the tablet wherein their names and lineages had been inscribed — the Prophet s had been asked about their tale — were with regard to their tale a unique marvel from among the entirety of Our signs? ‘ajaban ‘a marvel’ is the predicate of the defective verb kāna sc. kānū the preceding min āyātinā ‘from among Our signs’ being a circumstantial qualifier. In other words did you suppose that they were a marvel exclusively from among all Our other signs or that they were the most marvellous among them? Not so.
2150,18,10,jalalayn,إِذْ أَوَى ٱلْفِتْيَةُ إِلَى ٱلْكَهْفِ فَقَالُواْ رَبَّنَآ آتِنَا مِن لَّدُنكَ رَحْمَةً وَهَيِّىءْ لَنَا مِنْ أَمْرِنَا رَشَداً,Mention when the youths took refuge in the Cave fitya ‘youths’ is the plural of fatā and denotes a mature young man fearing for their faith from their disbelieving people they said ‘Our Lord! Give us mercy from Yourself and remedy for us our affair through rectitude’ through Your guidance.
2151,18,11,jalalayn,فَضَرَبْنَا عَلَىٰ آذَانِهِمْ فِي ٱلْكَهْفِ سِنِينَ عَدَداً,So We smote their ears that is We made them sleep in the Cave for several years for a fixed number of years.
2152,18,12,jalalayn,ثُمَّ بَعَثْنَاهُمْ لِنَعْلَمَ أَيُّ الحِزْبَيْنِ أَحْصَىٰ لِمَا لَبِثُواْ أَمَداً,Then We aroused them We awakened them that We might know a knowledge of direct vision which of the two parties the two groups in disagreement over the length of their stay in the cave was better in calculating ahsā is of the pattern of af‘al meaning ‘more precise’ what they had tarried li-mā labithū is semantically connected to the following in terms of the length of time amadan in the accusative denotes purpose.
2153,18,13,jalalayn,نَحْنُ نَقُصُّ عَلَيْكَ نبَأَهُم بِٱلْحَقِّ إِنَّهُمْ فِتْيَةٌ آمَنُواْ بِرَبِّهِمْ وَزِدْنَاهُمْ هُدًى,We relate recite to you their story with truth that is truthfully. They were indeed youths who believed in their Lord and We increased them in guidance.
2154,18,14,jalalayn,وَرَبَطْنَا عَلَىٰ قُلُوبِهِمْ إِذْ قَامُواْ فَقَالُواْ رَبُّنَا رَبُّ ٱلسَّمَٰوَٰتِ وَٱلأَرْضِ لَن نَّدْعُوَاْ مِن دُونِهِ إِلـٰهاً لَّقَدْ قُلْنَا إِذاً شَطَطاً,And We strengthened their hearts to enable them to speak the truth when they stood up before their king who had commanded them to prostrate to idols and said ‘Our Lord is the Lord of the heavens and the earth. We will not call on any god besides Him that is other than Him for then we shall certainly have uttered an outrage in other words we shall have spoken a statement that contains shatat meaning one of extreme disbelief were we hypothetically to call on any god other than God.
2155,18,15,jalalayn,هَـٰؤُلاۤءِ قَوْمُنَا ٱتَّخَذُواْ مِن دُونِهِ آلِهَةً لَّوْلاَ يَأْتُونَ عَلَيْهِم بِسُلْطَانٍ بَيِّنٍ فَمَنْ أَظْلَمُ مِمَّنِ ٱفْتَرَىٰ عَلَى ٱللَّهِ كَذِباً,These hā’ūlā’ is the subject of the sentence our people qawmunā is an explicative supplement to the subject have taken gods besides Him. Why if what they claim is true do they not bring some clear warrant some manifest argument regarding them? regarding worship of these idols. And who does greater wrong — in other words no one does greater wrong — than he who invents a lie against God? by ascribing partners to Him exalted be He. Some among the youths said to the others
2156,18,16,jalalayn,وَإِذِ ٱعْتَزَلْتُمُوهُمْ وَمَا يَعْبُدُونَ إِلاَّ ٱللَّهَ فَأْوُوا إِلَى ٱلْكَهْفِ يَنْشُرْ لَكُمْ رَبُّكُم مِّن رَّحْمَتِهِ وَيُهَيِّئْ لَكُمْ مِّنْ أَمْرِكُمْ مِّرْفَقاً,And when you withdraw from them and from that which they worship except God then take refuge in the Cave. Your Lord will reveal for you something of His mercy and prepare for you in your affair some comfort’ read mirfaqan or marfiqan that is to say something for you to find comfort in in the way of lunch or supper.
